title	1	2	3	FeZn	Ag	Au	Cu	Fe	In	Mo	Ni	Pb	Sn	Ti	W	Zn	Zr	Magnet	OhneMagnet
1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
16	2	1	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0
17	0	1	0	1	0	1	0	2	0	0	2	0	1	0	0	0	0	0	0
18	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
20	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
23	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
25	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0
26	1	0	0	0	0	0	0	4	0	0	0	0	0	1	0	0	0	0	0
27	1	0	1	1	0	0	1	5	0	0	3	0	0	0	0	0	0	0	0
28	3	0	2	2	0	0	1	5	0	0	2	0	1	1	0	0	0	0	0
29	6	0	4	0	0	1	2	7	1	0	3	0	1	0	2	2	0	0	0
30	7	2	2	0	0	2	0	6	0	0	4	1	1	3	1	3	0	3	2
31	9	4	5	4	0	1	4	11	0	0	3	1	1	0	0	4	1	1	0
32	6	4	11	4	0	1	1	15	0	0	3	1	2	1	1	3	1	2	1
33	10	8	3	2	1	1	4	22	2	1	6	2	0	11	2	7	2	0	2
34	19	8	15	1	1	0	5	19	2	0	5	0	6	14	1	5	2	1	2
35	21	9	21	7	2	1	6	23	5	5	7	3	4	16	5	9	2	5	1
36	24	12	27	10	0	4	8	35	1	1	14	1	4	10	2	6	4	4	5
37	32	16	21	11	7	4	13	42	6	5	19	2	4	27	2	9	4	3	3
38	33	15	28	16	6	7	8	33	6	4	15	3	10	31	5	15	4	8	10
39	32	15	44	13	3	3	18	49	4	7	21	8	12	37	6	15	5	7	11
40	42	26	36	19	5	7	19	48	4	7	25	12	6	48	6	25	4	11	9
41	69	27	38	10	8	4	18	69	8	5	25	3	8	57	9	26	5	8	7
42	52	19	54	9	6	5	30	73	8	7	23	8	8	54	7	21	9	13	7
43	57	23	58	27	9	6	25	69	8	15	32	10	10	49	6	28	6	10	8
44	55	27	67	19	10	7	21	80	9	9	33	17	10	85	12	22	13	17	10
45	62	28	75	19	19	9	22	73	14	12	38	13	12	109	10	26	7	11	7
46	66	31	56	19	34	13	23	74	12	14	40	13	10	92	11	23	11	18	15
47	70	35	64	15	42	7	27	66	21	6	39	23	19	102	11	33	8	14	23
48	69	29	68	22	65	13	25	91	19	7	44	13	13	103	10	30	12	19	17
49	77	29	73	26	90	9	38	87	22	9	56	14	16	106	17	28	14	18	12
50	75	29	62	15	95	13	39	82	32	10	34	17	24	115	18	29	12	9	10
51	73	33	51	23	94	9	37	84	51	9	42	15	25	105	12	28	6	17	14
52	92	34	65	25	113	11	25	80	83	7	53	13	34	96	12	35	8	17	8
53	84	27	63	16	102	13	30	81	91	9	38	13	57	100	11	32	7	21	11
54	93	22	76	33	119	15	42	91	149	5	38	16	67	92	11	34	6	13	14
55	97	39	73	27	113	7	23	80	195	9	47	18	120	84	11	33	10	20	20
56	91	46	92	20	126	9	35	95	207	9	48	14	138	103	10	30	14	18	19
57	109	34	71	37	117	8	26	83	266	12	41	14	215	99	9	39	10	22	11
58	91	40	66	22	97	7	39	91	228	8	40	12	227	95	15	36	12	17	15
59	101	28	66	26	80	7	37	93	270	9	38	10	292	89	14	30	19	23	15
60	104	41	82	32	69	10	39	97	267	5	42	11	281	91	12	26	7	24	12
61	118	43	87	33	51	13	38	95	268	9	45	11	347	90	11	44	4	19	17
62	106	36	84	24	45	6	42	90	243	6	48	10	381	119	13	47	11	30	10
63	104	39	94	29	31	9	25	114	221	10	57	10	379	88	14	48	4	20	14
64	120	30	81	23	22	8	31	106	207	9	63	22	354	105	13	28	17	25	13
65	100	34	80	34	22	16	38	124	201	6	49	13	346	120	16	31	11	26	18
66	114	36	96	29	14	12	31	118	115	5	56	13	283	135	10	38	6	18	16
67	132	36	72	39	8	9	30	106	105	8	52	19	290	217	17	48	14	18	12
68	91	52	67	24	6	11	32	154	101	12	53	10	220	321	10	39	14	22	30
69	107	33	94	36	8	13	34	149	63	6	47	9	163	514	10	36	16	24	30
70	114	47	79	32	3	11	33	128	59	11	62	16	145	859	8	41	11	30	38
71	130	39	76	28	4	8	36	161	46	7	50	13	98	1450	10	23	15	34	48
72	145	42	86	38	3	16	40	136	29	12	83	11	77	2092	12	30	8	42	85
73	146	40	87	35	5	14	33	153	8	8	63	15	69	3061	20	42	14	67	107
74	142	37	79	40	2	16	36	174	16	6	66	13	55	3912	10	42	13	78	118
75	160	41	80	35	6	11	42	175	12	9	55	17	31	4530	9	48	14	70	158
76	161	51	88	47	5	10	41	196	13	10	56	14	36	4968	12	35	10	103	182
77	187	53	100	48	3	9	42	217	10	11	71	12	19	5059	14	53	18	94	170
78	205	47	80	40	2	11	47	182	6	12	75	9	12	4909	7	56	11	92	170
79	216	60	81	41	1	9	42	183	3	12	77	17	14	4462	12	42	12	89	179
80	202	49	93	47	5	18	41	170	5	9	67	10	6	3809	19	48	12	85	154
81	324	43	110	54	2	8	40	184	3	6	69	14	8	3321	19	47	7	77	152
82	399	51	93	52	4	15	47	172	4	10	70	16	4	2720	14	61	17	81	111
83	538	46	97	49	2	14	47	196	3	9	70	16	6	2148	5	59	8	57	95
84	768	61	86	56	5	15	51	204	3	7	73	8	3	1696	19	52	16	56	76
85	1074	64	109	42	3	13	63	231	5	8	76	18	5	1234	22	41	13	55	57
86	1390	43	101	49	3	15	49	175	2	11	68	12	6	922	14	55	11	63	53
87	1663	55	109	45	6	13	56	229	1	12	71	15	3	637	15	48	17	37	44
88	2033	45	90	46	2	15	54	200	1	10	72	18	0	475	17	52	13	41	35
89	2114	49	102	52	2	14	56	276	4	8	82	22	0	323	22	38	11	47	39
90	2097	48	116	65	3	11	65	236	4	15	73	20	4	236	21	49	13	40	37
91	1999	64	102	58	2	22	56	287	3	10	81	12	6	140	33	49	11	37	26
92	1946	60	93	72	8	12	49	304	6	12	101	19	5	84	22	59	11	38	20
93	1703	48	100	72	4	15	42	394	9	6	94	14	2	51	23	64	17	48	20
94	1596	62	103	132	7	12	52	530	12	13	105	14	6	36	12	50	17	38	22
95	1587	59	111	188	3	7	56	844	9	14	104	18	6	31	21	42	15	39	21
96	1720	68	130	285	5	13	59	1462	2	18	137	16	0	22	22	59	6	45	17
97	2073	68	133	467	7	20	53	2374	5	13	131	16	5	27	18	50	19	48	22
